booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1235,P1979,6F250,2025-12-23 11:37:36.951,PENDING,Y7698731,13D,Vedhika Khare,+91-9835680345
B1236,P1513,AI062,2025-07-05 11:37:36.951,CONFIRMED,D6698416,25A,Anvi Sarraf,+91-7332232732
B1237,P1754,AI047,2025-11-16 11:37:36.951,UNKNOWN,T4077943,15B,Faras Mangal,+91-8569111042
B1238,P1296,SJ186,2025-10-20 11:37:36.951,UNKNOWN,F3899499,8E,Wahab Magar,+91-9966524048
B1239,P1210,AI217,2025-11-17 11:37:36.951,CANCELLED,A1426203,30A,Gautami Nagarajan,+91-9980268284
B1240,P1122,UK100,2025-12-31 11:37:36.951,CONFIRMED,W2116020,17A,Faris Devi,+91-6352555606
B1241,P1228,UK116,2025-12-16 11:37:36.951,CONFIRMED,M9989897,10A,Matthew Kashyap,+91-6577231868
B1242,P1593,6F036,2025-12-01 11:37:36.951,CANCELLED,A8894801,26C,Leela Dua,+91-8674563494
B1243,P1655,AI175,2026-01-22 11:37:36.951,CANCELLED,E2175883,29E,Tanish Bhatt,+91-8569942271
B1244,P1387,UK051,2025-08-18 11:37:36.951,CONFIRMED,A8200480,27D,Oeshi Reddy,+91-8608175439
B1245,P1139,6F201,2026-04-17 11:37:36.951,UNKNOWN,C2369149,26A,Ganga Shukla,+91-6269469724
B1246,P1540,6F230,2026-04-09 11:37:36.951,CONFIRMED,V7942968,33B,Ojasvi Bhatia,+91-9879757156
B1247,P1390,SJ138,2025-08-13 11:37:36.951,CANCELLED,N9704095,15F,Samuel Salvi,+91-6377724867
B1248,P1269,AI246,2026-03-04 11:37:36.951,PENDING,C9615607,16B,Lopa Bahri,+91-9405068805
B1249,P1758,6F179,2025-06-06 11:37:36.951,CANCELLED,W8356517,26B,Lajita Sood,+91-8787193294
B1250,P1011,6F031,2026-01-28 11:37:36.951,CANCELLED,B9649668,16F,Abeer Pandey,+91-8756919472
B1251,P1866,UK015,2025-08-30 11:37:36.951,PENDING,P0478421,29A,Chanchal Ramakrishnan,+91-7702190000
B1252,P1388,UK001,2025-04-21 11:37:36.951,CANCELLED,L1622593,27C,Oni Yohannan,+91-7100368619
B1253,P1336,6F133,2026-02-27 11:37:36.951,CANCELLED,V9348688,15E,Thomas Sura,+91-6568052911
B1254,P1505,6F143,2025-07-22 11:37:36.951,CANCELLED,E4672879,5D,Theodore Mahajan,+91-6769197840
B1255,P1105,UK165,2025-09-22 11:37:36.951,CANCELLED,C1413193,23F,Rajata Sunder,+91-7981271946
B1256,P1031,6F083,2025-08-10 11:37:36.951,CANCELLED,G6133760,22B,Ayush Ramachandran,+91-7147020072
B1257,P1073,AI082,2025-08-19 11:37:36.951,CANCELLED,J5881650,11C,Gayathri Ravel,+91-8905817961
B1258,P1170,AI164,2025-10-28 11:37:36.951,CANCELLED,K7241916,21F,Noah Sibal,+91-6307499118
B1259,P1848,SJ155,2026-01-19 11:37:36.951,CANCELLED,K4096617,31F,Joshua Walla,+91-6929358041
B1260,P1068,AI189,2026-01-04 11:37:36.951,CANCELLED,V2498980,1D,Avi Ramesh,+91-9994779063
B1261,P1812,SJ057,2025-12-21 11:37:36.951,CONFIRMED,W2141746,34A,Avi Chacko,+91-7450520909
B1262,P1361,SJ198,2025-05-07 11:37:36.951,CONFIRMED,Y2664869,16F,Priya Deshmukh,+91-9847838944
B1263,P1648,6F122,2026-01-03 11:37:36.951,CANCELLED,Y8748694,6C,Triya Gopal,+91-8731738359
B1264,P1432,SJ097,2026-04-15 11:37:36.951,CONFIRMED,J5011929,12A,Chandresh Lad,+91-9487960179
B1265,P1928,UK203,2025-08-06 11:37:36.951,PENDING,H6051171,28F,Ladli Narang,+91-6343813723
B1266,P1995,UK093,2026-01-16 11:37:36.951,CONFIRMED,Y8863653,27F,Siddharth Sha,+91-7207383106
B1267,P1099,AI205,2025-05-21 11:37:36.951,CANCELLED,V9455906,32A,Eta Nazareth,+91-6126600019
B1268,P1657,AI102,2026-01-16 11:37:36.951,UNKNOWN,Y9424894,12A,Ladli Mall,+91-8504087177
B1269,P1008,6F046,2025-09-06 11:37:36.951,CONFIRMED,N4896676,4C,Oviya Krishnan,+91-9381460807
B1270,P1573,SJ017,2025-06-02 11:37:36.951,UNKNOWN,F0456577,22E,Finn Singhal,+91-6713332228
B1271,P1696,6F156,2025-10-20 11:37:36.951,PENDING,R4533890,28B,Anirudh Zacharia,+91-7939913662
B1272,P1028,AI068,2025-07-18 11:37:36.951,PENDING,M4662265,19A,Charles Palla,+91-6525728311
B1273,P1892,AI150,2025-06-05 11:37:36.951,UNKNOWN,Z5995300,28B,Udarsh Biswas,+91-7227146375
B1274,P1113,UK008,2025-10-15 11:37:36.951,PENDING,F2427677,20D,Banjeet Balasubramanian,+91-7920133571
B1275,P1461,6F166,2025-07-11 11:37:36.951,PENDING,L9160112,18F,Yug Iyengar,+91-6199106536
B1276,P1920,6F177,2025-07-15 11:37:36.951,CONFIRMED,M8488600,1A,Anmol Dua,+91-9732229840
B1277,P1142,AI196,2026-01-19 11:37:36.951,PENDING,V6778231,12E,William Date,+91-8576836223
B1278,P1389,SJ191,2025-08-09 11:37:36.951,CONFIRMED,A4726426,5B,Urvashi Contractor,+91-6276763565
B1279,P1631,6F019,2025-05-10 11:37:36.951,UNKNOWN,B3843753,28C,Tejas Shroff,+91-9908054052
B1280,P1681,AI226,2026-04-12 11:37:36.951,CONFIRMED,W0785254,33B,Aahana Pillay,+91-8237349514
B1281,P1156,SJ207,2026-01-21 11:37:36.951,CANCELLED,D8385454,4A,Oliver Contractor,+91-9373229374
B1282,P1334,AI009,2025-12-30 11:37:36.951,CANCELLED,K5475231,8B,Nihal Mukhopadhyay,+91-7265532151
B1283,P1860,AI103,2025-05-08 11:37:36.951,UNKNOWN,R4897917,29D,Hritik Bal,+91-7360807808
B1284,P1259,SJ127,2026-02-22 11:37:36.951,CANCELLED,K2720388,25F,Devika Prashad,+91-7980090070
B1285,P1081,UK188,2026-03-26 11:37:36.951,CANCELLED,C7508019,25B,Mekhala Issac,+91-6373728913
B1286,P1753,6F010,2025-09-25 11:37:36.951,UNKNOWN,L3069358,33B,Faqid Kibe,+91-8770153362
B1287,P1440,SJ098,2025-12-13 11:37:36.951,CANCELLED,H5340018,5F,Harsh Mitra,+91-9573027930
B1288,P1944,6F058,2025-12-11 11:37:36.951,PENDING,T8481652,18C,Jai Barman,+91-8819434865
B1289,P1171,SJ030,2026-03-23 11:37:36.951,PENDING,M4460838,24F,Idika Walia,+91-6610147017
B1290,P1230,UK175,2025-07-26 11:37:36.951,CANCELLED,Y9378105,16F,Priya Prabhakar,+91-6257929769
B1291,P1719,SJ108,2026-04-01 11:37:36.951,PENDING,W7884869,28E,Ekapad Toor,+91-7920697572
B1292,P1074,6F075,2025-08-03 11:37:36.951,CONFIRMED,Y0457927,7C,Harita Arora,+91-9831243679
B1293,P1269,UK222,2025-08-31 11:37:36.951,CONFIRMED,E4630198,25F,Osha Suri,+91-8287936545
B1294,P1898,6F250,2025-07-13 11:37:36.951,CANCELLED,J2383972,34B,Hitesh Sant,+91-7709899502
B1295,P1625,AI096,2025-12-29 11:37:36.951,CANCELLED,D2187062,14B,Janaki Sharaf,+91-6864172053
B1296,P1061,AI216,2025-12-23 11:37:36.951,CANCELLED,X8322101,1B,Michael Saran,+91-7288687733
B1297,P1873,6F193,2026-01-23 11:37:36.951,PENDING,A0186766,8A,Patrick Vig,+91-6645378361
B1298,P1319,SJ194,2026-01-02 11:37:36.951,PENDING,Z9876108,6C,Anamika Yohannan,+91-7500152809
B1299,P1101,SJ020,2025-09-11 11:37:36.951,CONFIRMED,N1403845,16F,Veda Shroff,+91-6733113217
B1300,P1428,6F070,2025-06-14 11:37:36.951,PENDING,V0746823,21C,Rajata Loyal,+91-9732113521
B1301,P1873,AI051,2025-09-03 11:37:36.951,CONFIRMED,L1003076,12A,Ekantika Korpal,+91-8977644069
B1302,P1721,UK219,2025-12-27 11:37:36.951,PENDING,J5967150,3D,Gabriel Mallick,+91-9817734089
B1303,P1953,AI235,2025-12-13 11:37:36.951,CONFIRMED,N6411065,20A,Shravya Kohli,+91-6855999768
B1304,P1254,6F022,2025-12-13 11:37:36.951,UNKNOWN,H4078516,18E,Ucchal Raghavan,+91-9145051700
B1305,P1531,SJ114,2025-09-28 11:37:36.951,PENDING,V9058366,13C,Gayathri Balakrishnan,+91-7505789203
B1306,P1569,SJ076,2025-12-01 11:37:36.951,CONFIRMED,W9996269,30A,Warda Nair,+91-7679751450
B1307,P1111,UK227,2026-01-26 11:37:36.951,PENDING,P8889178,32E,Qabil Sura,+91-6490932614
B1308,P1984,UK135,2025-07-22 11:37:36.951,CANCELLED,A5962571,30D,Simon Pant,+91-6844332287
B1309,P1312,AI234,2025-05-06 11:37:36.951,CONFIRMED,Y3201265,30F,Aarna Oak,+91-7508172677
B1310,P1997,6F113,2025-08-20 11:37:36.951,PENDING,A4180952,5D,Ati Majumdar,+91-8460363222
B1311,P1460,SJ206,2025-11-16 11:37:36.951,PENDING,V5177741,9D,Advaith Varughese,+91-8513494288
B1312,P1707,AI015,2026-03-29 11:37:36.951,UNKNOWN,Y2118824,6E,Rayaan Chada,+91-9247930241
B1313,P1886,6F260,2025-05-16 11:37:36.951,CANCELLED,P4222975,33E,Wyatt Ray,+91-6582409760
B1314,P1461,AI061,2025-04-28 11:37:36.951,CONFIRMED,B4542185,19C,Vrinda Khosla,+91-9994898284
B1315,P1864,6F237,2026-03-26 11:37:36.951,PENDING,B5682092,9C,Vamakshi Swaminathan,+91-9991747462
B1316,P1091,SJ099,2026-01-06 11:37:36.951,PENDING,A9001635,27C,Sara Badal,+91-6593232068
B1317,P1051,SJ146,2026-02-24 11:37:36.951,CANCELLED,F3247282,21F,Girik Menon,+91-8105429773
B1318,P1804,SJ146,2025-05-23 11:37:36.951,CANCELLED,B1788224,29B,Timothy Ravel,+91-6246297023
B1319,P1519,6F071,2025-05-04 11:37:36.951,CONFIRMED,P1685071,4C,Yagnesh Mohan,+91-6198211758
B1320,P1811,6F272,2025-08-13 11:37:36.951,PENDING,D9509271,6C,Jyoti Solanki,+91-7558921202
B1321,P1097,SJ029,2026-02-12 11:37:36.951,PENDING,C0537092,13A,Hemangini Sandal,+91-6596471866
B1322,P1235,UK084,2025-07-27 11:37:36.951,CONFIRMED,C6950074,6E,Ganga Pandey,+91-8703200643
B1323,P1900,SJ048,2026-02-06 11:37:36.951,CONFIRMED,L4329876,14D,Sudiksha Madan,+91-8241202487
B1324,P1373,AI108,2026-02-04 11:37:36.951,CANCELLED,Y4471619,33B,Damini Krishnamurthy,+91-9317094040
B1325,P1580,SJ134,2025-08-11 11:37:36.951,CANCELLED,K8131045,3B,Vihaan Dara,+91-8931809747
B1326,P1926,UK146,2025-10-31 11:37:36.951,CONFIRMED,W9632174,14F,Reyansh Mutti,+91-8570138283
B1327,P1556,SJ036,2025-09-24 11:37:36.951,CONFIRMED,J8352680,26C,Jagdish Wason,+91-9141787662
B1328,P1648,6F202,2025-11-01 11:37:36.951,PENDING,P7398344,33B,Qasim Handa,+91-8289919958
B1329,P1233,UK041,2026-02-13 11:37:36.951,CONFIRMED,L3646280,22C,Tarak Sule,+91-6578369243
B1330,P1031,6F078,2025-12-06 11:37:36.951,CONFIRMED,R4065795,23A,Aradhana Vohra,+91-8526346256
B1331,P1288,AI097,2025-07-03 11:37:36.951,PENDING,F3920908,22C,Barkha Chaudhry,+91-6145639583
B1332,P1637,UK159,2026-01-15 11:37:36.951,CONFIRMED,T4091311,7D,Rishi Minhas,+91-9201742108
B1333,P1578,UK044,2025-09-06 11:37:36.951,CANCELLED,Y0254760,12B,Utkarsh Patel,+91-6536071145
B1334,P1541,6F176,2025-09-27 11:37:36.951,CANCELLED,Y5354120,6F,Praneel Mittal,+91-7295679658
B1335,P1113,SJ221,2026-02-11 11:37:36.951,PENDING,R5950026,4A,Akshay Walla,+91-8219178680
B1336,P1203,6F112,2025-07-03 11:37:36.951,CONFIRMED,L3259479,22A,Jonathan Mahal,+91-9403353059
B1337,P1028,6F246,2025-10-20 11:37:36.951,UNKNOWN,B7173279,4C,Chakradev Bhagat,+91-8791396646
B1338,P1642,6F014,2026-02-21 11:37:36.951,CANCELLED,A3100649,14C,Brinda Date,+91-6318252453
B1339,P1473,AI237,2025-09-17 11:37:36.951,CANCELLED,X1045203,28A,Vritti Chauhan,+91-8169159137
B1340,P1696,6F003,2025-12-14 11:37:36.951,CANCELLED,C8491359,12E,Advik Mane,+91-8471630823
B1341,P1252,6F249,2025-07-04 11:37:36.951,CONFIRMED,H5952056,5A,Upasna Srinivas,+91-6537611075
B1342,P1797,UK149,2025-04-29 11:37:36.951,CONFIRMED,T9900696,4A,Ridhi Oak,+91-9870011209
B1343,P1904,SJ163,2026-03-08 11:37:36.951,CONFIRMED,R7403784,9F,Qarin Behl,+91-7811045104
B1344,P1921,SJ243,2026-03-28 11:37:36.951,CONFIRMED,G9449530,1D,Zayyan Sridhar,+91-9592285145
B1345,P1385,UK113,2025-06-06 11:37:36.951,CANCELLED,N2550325,1A,Ishaan Bhattacharyya,+91-9328187922
B1346,P1061,AI071,2025-06-07 11:37:36.951,PENDING,N5426241,30E,Nandini Swamy,+91-8297321806
B1347,P1514,6F271,2026-02-07 11:37:36.951,PENDING,X0292334,22A,Ethan Bera,+91-6116356679
B1348,P1429,SJ015,2025-06-05 11:37:36.951,CANCELLED,B9060530,27E,Max Dixit,+91-8360893196
B1349,P1579,UK047,2025-11-19 11:37:36.951,CANCELLED,A2116673,9E,Daksha Chada,+91-6402354833
B1350,P1536,UK020,2026-02-04 11:37:36.951,PENDING,L7598875,12A,Yuvraj Dani,+91-7737178891
B1351,P1690,AI122,2025-09-03 11:37:36.951,PENDING,X6426033,27F,Omaja Kara,+91-7956136783
B1352,P1140,UK223,2025-10-20 11:37:36.951,CANCELLED,A2755821,17D,Lajita Seshadri,+91-9126482884
B1353,P1742,6F148,2025-09-19 11:37:36.951,CANCELLED,Y2071152,15F,Saanvi Mishra,+91-6294274844
B1354,P1299,SJ162,2025-12-14 11:37:36.951,CONFIRMED,G6219215,34A,Pushti Mody,+91-9876089213
B1355,P1674,6F127,2026-03-30 11:37:36.951,CONFIRMED,A5916118,28B,Darpan Chaudhary,+91-8456821313
B1356,P1310,AI173,2025-11-10 11:37:36.951,PENDING,W8195977,11F,Sarthak Kakar,+91-6509868460
B1357,P1470,6F065,2026-02-05 11:37:36.951,UNKNOWN,W8005378,14A,Aishani Bumb,+91-9753539923
B1358,P1392,AI053,2025-06-22 11:37:36.951,PENDING,E8972845,20A,Naksh Khatri,+91-6651810560
B1359,P1641,AI241,2025-10-22 11:37:36.951,CONFIRMED,E2720028,14E,Oscar Borde,+91-8676228471
B1360,P1444,AI105,2025-06-15 11:37:36.951,UNKNOWN,E3220414,18D,Naksh Agate,+91-8803122317
B1361,P1757,AI110,2025-08-24 11:37:36.951,PENDING,G2811659,13F,Nilima Seshadri,+91-6822763821
B1362,P1808,AI252,2025-10-22 11:37:36.951,CONFIRMED,E0203042,15B,Upma Manne,+91-7869807951
B1363,P1171,AI149,2025-12-14 11:37:36.951,CANCELLED,R7521353,3B,Bachittar Kata,+91-6548747515
B1364,P1575,AI224,2025-09-09 11:37:36.951,PENDING,L0646300,23F,Bhavya Mandal,+91-7989248079
B1365,P1030,UK158,2025-07-03 11:37:36.951,CANCELLED,R7756919,15B,Sudiksha Bobal,+91-6834210703
B1366,P1046,6F125,2025-05-05 11:37:36.951,CANCELLED,A2916174,25E,Vivaan Lalla,+91-6270855252
B1367,P1129,UK164,2025-12-14 11:37:36.951,CONFIRMED,X8310438,18A,Rudra Sandal,+91-9520780157
B1368,P1351,UK007,2025-12-26 11:37:36.951,CANCELLED,F2913167,1E,Ishwar Kar,+91-6493947814
B1369,P1977,6F118,2026-03-18 11:37:36.951,PENDING,N8566706,15F,Manthan Lata,+91-9264252076
B1370,P1844,SJ004,2026-01-01 11:37:36.951,CANCELLED,C9865504,19C,Lucky Bora,+91-8804403721
B1371,P1621,6F206,2025-09-25 11:37:36.951,CANCELLED,B7663493,15E,Darpan Gandhi,+91-9469141602
B1372,P1580,SJ130,2025-05-11 11:37:36.951,CANCELLED,A4962732,11D,Damyanti Mani,+91-7565832017
B1373,P1057,SJ070,2026-02-14 11:37:36.951,CANCELLED,D1424362,22F,Reva Dash,+91-8386211304
B1374,P1105,AI085,2025-04-24 11:37:36.951,CANCELLED,E1880879,7F,Upadhriti Modi,+91-9258397223
B1375,P1811,SJ109,2025-09-02 11:37:36.951,CONFIRMED,Z3419964,15B,Neha Magar,+91-8964359962
B1376,P1329,AI168,2025-08-24 11:37:36.951,PENDING,H2472505,16B,Xiti Zacharia,+91-7379969634
B1377,P1767,UK123,2025-10-24 11:37:36.951,CONFIRMED,G0311587,26A,Wakeeta Sarma,+91-8871771232
B1378,P1823,UK110,2026-01-16 11:37:36.951,PENDING,J5769475,30D,Faris Baral,+91-8874968535
B1379,P1682,AI206,2025-11-02 11:37:36.951,PENDING,Z5353659,31C,Rachana Naidu,+91-9515172178
B1380,P1382,6F007,2026-04-16 11:37:36.951,PENDING,Y8616342,6B,Zashil Bal,+91-8406607743
B1381,P1984,SJ013,2025-11-11 11:37:36.951,PENDING,M0809594,33A,Gavin Karnik,+91-8299033911
B1382,P1161,UK061,2025-09-19 11:37:36.951,PENDING,N9255966,20D,Ansh Luthra,+91-7221162822
B1383,P1996,AI010,2025-09-24 11:37:36.951,CANCELLED,H0742359,8C,Banjeet Gill,+91-7513182261
B1384,P1285,AI024,2025-05-16 11:37:36.951,CONFIRMED,D4048933,11D,Upma Venkataraman,+91-6423193523
B1385,P1070,UK130,2025-06-08 11:37:36.951,CONFIRMED,L4307963,30B,Riya Mall,+91-6830863433
B1386,P1766,AI161,2026-03-12 11:37:36.951,CANCELLED,A0817852,10A,Pratyush Sarin,+91-6495523897
B1387,P1453,SJ208,2025-07-23 11:37:36.951,PENDING,W7184523,24F,Vyanjana Chand,+91-8893628754
B1388,P1885,6F038,2025-09-23 11:37:36.951,UNKNOWN,F6874470,8D,Upma Pall,+91-7790218221
B1389,P1566,6F085,2026-02-22 11:37:36.951,UNKNOWN,F0865237,30D,Nilima Nath,+91-7719876220
B1390,P1834,SJ028,2026-03-09 11:37:36.951,CANCELLED,P6563370,8C,Ekani Cheema,+91-6793320994
B1391,P1396,SJ084,2025-11-26 11:37:36.951,CONFIRMED,B5278105,21F,Naveen Narayan,+91-6139048281
B1392,P1514,AI139,2026-03-27 11:37:36.951,CONFIRMED,A2722142,21D,Nisha Tandon,+91-7228757852
B1393,P1025,UK179,2026-04-06 11:37:36.951,PENDING,P0943913,26E,Bhavya Rattan,+91-6630833402
B1394,P1312,6F256,2025-07-23 11:37:36.951,PENDING,F0313695,23F,Balhaar Sha,+91-7656302923
B1395,P1125,UK023,2026-02-10 11:37:36.951,UNKNOWN,N2092973,23B,Gaurang Murty,+91-8760748777
B1396,P1407,AI039,2025-08-03 11:37:36.951,UNKNOWN,M3322273,13E,Zayyan Naik,+91-7101529194
B1397,P1564,UK190,2026-02-05 11:37:36.951,CANCELLED,K5735323,28D,Jack Raval,+91-6644683359
B1398,P1197,6F224,2026-02-04 11:37:36.951,PENDING,M0761087,3E,Yoshita Agarwal,+91-7517782164
B1399,P1810,UK221,2025-05-31 11:37:36.951,PENDING,Y7182360,7A,Turvi Sachdev,+91-9233875517
B1400,P1187,SJ107,2026-04-02 11:37:36.951,CANCELLED,E6158388,12F,Chatura Guha,+91-6629349488
B1401,P1697,UK155,2025-04-20 11:37:36.951,UNKNOWN,Z6484673,21D,Zarna Pathak,+91-8240686092
B1402,P1816,UK183,2026-03-21 11:37:36.951,CANCELLED,E3322280,7E,Wishi Sathe,+91-8372468758
B1403,P1809,SJ203,2025-05-08 11:37:36.951,PENDING,E5892225,26A,Charan Jani,+91-9296538210
B1404,P1715,6F253,2026-03-07 11:37:36.951,UNKNOWN,Y5350637,16A,Amara Deep,+91-6670771783
B1405,P1483,AI100,2025-08-26 11:37:36.951,PENDING,B4674130,32F,Bhavna Sarma,+91-8346010547
B1406,P1449,6F140,2025-06-24 11:37:36.951,CONFIRMED,W4185201,15D,Vedhika Dara,+91-7530884687
B1407,P1522,UK048,2025-08-26 11:37:36.951,CONFIRMED,B8463975,25A,Ayush Khatri,+91-8884365796
B1408,P1870,SJ204,2025-07-29 11:37:36.951,CONFIRMED,J7055491,12F,Nathan Mukhopadhyay,+91-6495445629
B1409,P1353,UK105,2026-03-24 11:37:36.951,CONFIRMED,C6411955,28C,Akshay Reddy,+91-6711576973
B1410,P1985,AI098,2026-04-13 11:37:36.951,CONFIRMED,C9693957,32C,Girik Kar,+91-7164637244
B1411,P1657,6F013,2025-10-12 11:37:36.951,CANCELLED,T0204262,1A,Ishaan Shenoy,+91-9203180131
B1412,P1596,6F128,2025-11-18 11:37:36.951,CANCELLED,E1241393,28E,Jacob Dube,+91-9596881987
B1413,P1099,SJ038,2025-10-05 11:37:36.951,UNKNOWN,W9760987,14A,Wishi Manne,+91-7557803192
B1414,P1615,SJ182,2026-01-07 11:37:36.951,CONFIRMED,T7319227,25F,Yashodhara Mahajan,+91-6594331680
B1415,P1947,6F199,2026-03-22 11:37:36.951,PENDING,L9889786,23B,Ojasvi Subramanian,+91-7777493723
B1416,P1557,SJ187,2025-08-17 11:37:36.951,CANCELLED,X4319165,20B,Urmi Kohli,+91-6650286446
B1417,P1555,AI182,2025-08-18 11:37:36.951,PENDING,X5231202,8E,Tanmayi Dhillon,+91-6477927960
B1418,P1277,SJ027,2025-05-04 11:37:36.951,PENDING,A5764497,19D,Leela Halder,+91-6863394412
B1419,P1692,SJ062,2026-01-20 11:37:36.951,CONFIRMED,B0268764,20E,Yashoda Deshpande,+91-9633018119
B1420,P1698,SJ161,2026-02-24 11:37:36.951,CONFIRMED,N4979741,27B,Ekaraj Majumdar,+91-9473188349
B1421,P1989,UK058,2025-10-03 11:37:36.951,UNKNOWN,P0450063,23C,Oeshi Oak,+91-7604937587
B1422,P1625,AI181,2026-01-04 11:37:36.951,CANCELLED,G0964969,12D,Yashica Loke,+91-9184909552
B1423,P1490,AI003,2025-06-12 11:37:36.951,CONFIRMED,D9529635,14A,Aarnav Mandal,+91-8737334983
B1424,P1254,6F150,2025-11-05 11:37:36.951,CANCELLED,R0255128,11D,Chanchal Suri,+91-9824154194
B1425,P1380,SJ175,2025-06-28 11:37:36.951,CANCELLED,G6431594,34E,Manthan Sekhon,+91-8756833711
B1426,P1891,6F041,2025-12-15 11:37:36.951,CANCELLED,N5466345,17C,Veda Pai,+91-7430059164
B1427,P1541,SJ040,2026-04-15 11:37:36.951,CANCELLED,J1491699,16E,Gaurangi Purohit,+91-7995268098
B1428,P1263,6F020,2025-06-17 11:37:36.951,CONFIRMED,J4974394,27C,Tamanna Nagy,+91-6664599799
B1429,P1609,AI248,2025-05-08 11:37:36.951,CANCELLED,W2230958,27B,Ranbir Khare,+91-9876901643
B1430,P1824,SJ016,2026-02-08 11:37:36.951,CONFIRMED,G9889413,11A,Leela Kaur,+91-6916310947
B1431,P1878,UK204,2025-11-21 11:37:36.951,CONFIRMED,X7202170,31C,Nirja Bassi,+91-8656812572
B1432,P1328,6F211,2025-09-02 11:37:36.951,CANCELLED,M3465579,9B,Eesha Solanki,+91-6362458848
B1433,P1114,SJ166,2025-05-07 11:37:36.951,CONFIRMED,A0449646,5B,Lakshmi Raju,+91-7708353703
B1434,P1275,AI036,2025-10-19 11:37:36.951,PENDING,B0251213,30C,Max Tandon,+91-9482508755
B1435,P1487,SJ215,2025-09-18 11:37:36.951,CONFIRMED,V9635957,1E,Balhaar Date,+91-9965612470
B1436,P1280,AI076,2026-01-05 11:37:36.951,CONFIRMED,C9931458,20B,Yadavi Narula,+91-8847069786
B1437,P1274,SJ012,2025-11-28 11:37:36.951,CANCELLED,L6631138,24A,Harish Sarraf,+91-7418496956
B1438,P1772,AI073,2026-04-01 11:37:36.951,UNKNOWN,F3622033,20D,Harish Vora,+91-8296614578
B1439,P1842,SJ173,2025-11-09 11:37:36.951,CONFIRMED,J6310437,27E,Tanmayi Aurora,+91-9939055093
B1440,P1718,AI193,2026-03-09 11:37:36.951,CANCELLED,W0085294,25E,Maanas Rout,+91-6264272446
B1441,P1895,SJ131,2025-09-22 11:37:36.951,UNKNOWN,Z1774174,13A,Mohammed Borde,+91-8323165768
B1442,P1327,AI225,2025-06-02 11:37:36.951,PENDING,L0238502,11E,Upasna Lanka,+91-8553252524
B1443,P1210,AI190,2025-10-09 11:37:36.951,CANCELLED,N5275233,9E,Hamsini Rao,+91-7769594504
B1444,P1726,SJ238,2025-12-25 11:37:36.951,CONFIRMED,H0202569,7B,Faris Narasimhan,+91-7110695352
B1445,P1922,6F005,2025-12-21 11:37:36.951,PENDING,H0334677,5F,Lajita Nadig,+91-6819758689
B1446,P1551,UK136,2025-09-25 11:37:36.951,PENDING,P7507627,23C,Vinaya Banik,+91-7903580651
B1447,P1991,SJ063,2025-05-21 11:37:36.951,CONFIRMED,B2453012,15F,Ekapad Keer,+91-8976242839
B1448,P1025,6F175,2025-11-21 11:37:36.951,CANCELLED,T2303420,9E,Bhavna Karan,+91-8592259801
B1449,P1026,AI037,2025-05-23 11:37:36.951,PENDING,C9017222,19A,Gautam Saraf,+91-8162802828
B1450,P1701,UK225,2025-11-11 11:37:36.951,CONFIRMED,R6487177,21C,Guneet Chaudhry,+91-9213677953
B1451,P1082,AI141,2025-05-20 11:37:36.951,CONFIRMED,Y9240658,15E,Sachi Ganesan,+91-9265448759
B1452,P1895,6F172,2026-01-26 11:37:36.951,PENDING,T2581225,3E,Chandani Balakrishnan,+91-8513688446
B1453,P1945,6F219,2026-02-07 11:37:36.951,CANCELLED,N8448237,16F,Chakradhar Nair,+91-7584654326
B1454,P1681,AI045,2025-08-16 11:37:36.951,PENDING,X1212110,8E,Daksh Memon,+91-9651380104
B1455,P1412,AI198,2026-04-12 11:37:36.951,CONFIRMED,B3586901,30A,Jagrati Prasad,+91-9412832579
B1456,P1166,AI120,2025-04-24 11:37:36.951,PENDING,B3925199,17F,Raagini Dhingra,+91-8291343796
B1457,P1699,6F134,2025-06-11 11:37:36.951,CANCELLED,Y5171222,32D,Yash Wali,+91-8368192082
B1458,P1168,UK102,2025-11-19 11:37:36.951,CONFIRMED,H8722054,10B,Nisha Gole,+91-6503383841
B1459,P1800,SJ199,2025-06-10 11:37:36.951,CANCELLED,F6549633,1F,Onkar Gill,+91-7317278817
B1460,P1978,6F235,2025-10-01 11:37:36.951,PENDING,K4470488,32E,Farhan Raja,+91-8112609563
B1461,P1228,UK065,2025-10-14 11:37:36.951,PENDING,J7020596,33F,Wridesh Tank,+91-8176634497
B1462,P1978,6F135,2025-12-03 11:37:36.951,CANCELLED,Y5377492,26D,Luke Kata,+91-7271753941
B1463,P1608,SJ148,2026-02-10 11:37:36.951,PENDING,Y5634277,31C,Triya Kumar,+91-7271817988
B1464,P1366,AI083,2026-03-07 11:37:36.951,CANCELLED,M9206165,6B,Tripti Kumer,+91-7129825287
B1465,P1527,UK024,2025-07-02 11:37:36.951,PENDING,Z5922941,5C,Aditya Shroff,+91-9334469035
B1466,P1790,UK220,2025-04-27 11:37:36.951,CANCELLED,B2955963,28B,Bhavna Dugar,+91-9817662257
B1467,P1646,UK115,2025-04-30 11:37:36.951,CANCELLED,E6294206,25A,Ethan Sathe,+91-8812154253
B1468,P1537,AI255,2025-07-16 11:37:36.951,CONFIRMED,J9808513,14F,Hemani Mistry,+91-6339482325
B1469,P1863,6F001,2025-12-25 11:37:36.951,CONFIRMED,Z8004983,11A,Panini Krishna,+91-6289816316
